epoch,accuracy,loss,val_accuracy,val_loss
0,0.762499988079071,0.6186500787734985,0.8650000095367432,0.32693812251091003
1,0.8644999861717224,0.34854546189308167,0.8987500071525574,0.24565649032592773
2,0.8889999985694885,0.30423787236213684,0.8612499833106995,0.37306836247444153
3,0.9004999995231628,0.24815380573272705,0.8949999809265137,0.28473055362701416
4,0.9135000109672546,0.2232125997543335,0.8712499737739563,0.3917849063873291
5,0.9210000038146973,0.2139468491077423,0.8987500071525574,0.32729819416999817
6,0.9309999942779541,0.19648435711860657,0.8962500095367432,0.34581393003463745
7,0.9390000104904175,0.16323046386241913,0.9012500047683716,0.3893383741378784
8,0.9409999847412109,0.1568695604801178,0.8999999761581421,0.3901483118534088
9,0.9580000042915344,0.13844703137874603,0.9012500047683716,0.40733519196510315
