step	accuracy
0	0.7565000057220459
1	0.843999981880188
2	0.8834999799728394
3	0.906000018119812
4	0.9185000061988831
5	0.9269999861717224
6	0.9315000176429749
7	0.9415000081062317
8	0.9509999752044678
9	0.9574999809265137
