step	loss
0	0.5878023505210876
1	0.33782458305358887
2	0.2907962203025818
3	0.24079252779483795
4	0.2175285816192627
5	0.19273783266544342
6	0.16184502840042114
7	0.14950095117092133
8	0.15047457814216614
9	0.11971963196992874
